X1	Y1	X2	Y2	X3	Y3	
343.65	-6978.61	0.01	-0.01	3709.17	5186.12	
345.64	-6978.36	0.01	-0.01	3707.39	5187.09	
347.64	-6978.11	0.01	-0.01	3705.61	5188.05	
349.63	-6977.86	0.01	-0.01	3703.83	5189.01	
351.63	-6977.61	0.01	-0.01	3702.04	5189.97	
353.62	-6977.36	0.01	-0.01	3700.26	5190.92	
355.61	-6977.10	0.01	-0.02	3698.48	5191.88	
357.61	-6976.84	0.01	-0.02	3696.69	5192.83	
359.60	-6976.59	0.01	-0.02	3694.91	5193.79	
361.59	-6976.33	0.01	-0.02	3693.12	5194.74	
363.59	-6976.07	0.01	-0.02	3691.33	5195.69	
365.58	-6975.80	0.01	-0.02	3689.54	5196.64	
367.57	-6975.54	0.01	-0.02	3687.75	5197.59	
369.57	-6975.27	0.01	-0.02	3685.96	5198.53	
371.56	-6975.01	0.01	-0.02	3684.17	5199.48	
373.55	-6974.74	0.01	-0.02	3682.37	5200.42	
375.54	-6974.47	0.01	-0.02	3680.58	5201.36	
377.54	-6974.20	0.01	-0.02	3678.78	5202.30	
379.53	-6973.93	0.01	-0.02	3676.99	5203.24	
381.52	-6973.65	0.01	-0.02	3675.19	5204.18	
383.51	-6973.38	0.01	-0.02	3673.39	5205.11	
385.51	-6973.10	0.01	-0.02	3671.59	5206.05	
387.50	-6972.82	0.01	-0.02	3669.79	5206.98	
389.49	-6972.54	0.01	-0.02	3667.99	5207.91	
391.48	-6972.26	0.01	-0.02	3666.19	5208.85	
393.48	-6971.98	0.01	-0.02	3664.38	5209.77	
395.47	-6971.70	0.01	-0.02	3662.58	5210.70	
397.46	-6971.41	0.01	-0.02	3660.78	5211.63	
399.45	-6971.12	0.01	-0.02	3658.97	5212.55	
401.44	-6970.84	0.01	-0.02	3657.16	5213.48	
403.44	-6970.55	0.01	-0.02	3655.35	5214.40	
405.43	-6970.25	0.01	-0.02	3653.54	5215.32	
407.42	-6969.96	0.01	-0.02	3651.73	5216.24	
409.41	-6969.67	0.01	-0.02	3649.92	5217.16	
411.40	-6969.37	0.01	-0.02	3648.11	5218.07	
413.39	-6969.08	0.01	-0.02	3646.30	5218.99	
415.38	-6968.78	0.01	-0.02	3644.48	5219.90	
417.37	-6968.48	0.01	-0.02	3642.67	5220.81	
419.37	-6968.18	0.01	-0.02	3640.85	5221.73	
421.36	-6967.87	0.01	-0.02	3639.03	5222.63	
423.35	-6967.57	0.01	-0.02	3637.22	5223.54	
425.34	-6967.26	0.01	-0.02	3635.40	5224.45	
427.33	-6966.96	0.01	-0.02	3633.58	5225.35	
429.32	-6966.65	0.01	-0.02	3631.76	5226.26	
431.31	-6966.34	0.01	-0.02	3629.93	5227.16	
433.30	-6966.03	0.01	-0.02	3628.11	5228.06	
435.29	-6965.72	0.01	-0.02	3626.29	5228.96	
437.28	-6965.40	0.01	-0.02	3624.46	5229.86	
439.27	-6965.09	0.01	-0.02	3622.64	5230.75	
441.26	-6964.77	0.01	-0.02	3620.81	5231.65	
443.25	-6964.45	0.01	-0.02	3618.98	5232.54	
445.24	-6964.13	0.01	-0.02	3617.15	5233.44	
447.23	-6963.81	0.01	-0.02	3615.32	5234.33	
449.22	-6963.49	0.01	-0.02	3613.49	5235.22	
451.21	-6963.16	0.01	-0.02	3611.66	5236.10	
453.20	-6962.84	0.01	-0.02	3609.83	5236.99	
455.19	-6962.51	0.01	-0.02	3607.99	5237.88	
457.18	-6962.18	0.01	-0.02	3606.16	5238.76	
459.17	-6961.85	0.01	-0.03	3604.32	5239.64	
461.16	-6961.52	0.01	-0.03	3602.49	5240.52	
463.14	-6961.19	0.01	-0.03	3600.65	5241.40	
465.13	-6960.85	0.01	-0.03	3598.81	5242.28	
467.12	-6960.52	0.01	-0.03	3596.97	5243.16	
469.11	-6960.18	0.01	-0.03	3595.13	5244.03	
471.10	-6959.84	0.01	-0.03	3593.29	5244.91	
473.09	-6959.50	0.01	-0.03	3591.44	5245.78	
475.08	-6959.16	0.01	-0.03	3589.60	5246.65	
477.06	-6958.82	0.01	-0.03	3587.76	5247.52	
479.05	-6958.48	0.01	-0.03	3585.91	5248.39	
481.04	-6958.13	0.01	-0.03	3584.06	5249.25	
