X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	
0.00	-0.00	-4989.78	-199.86	4989.78	199.86	199.86	-4989.78	-199.86	4989.78	
0.00	-0.00	-4989.58	-201.86	4989.58	201.86	201.86	-4989.58	-201.86	4989.58	
0.00	-0.00	-4989.37	-203.86	4989.37	203.86	203.86	-4989.37	-203.86	4989.37	
0.00	-0.00	-4989.17	-205.85	4989.17	205.85	205.85	-4989.17	-205.85	4989.17	
0.00	-0.00	-4988.96	-207.85	4988.96	207.85	207.85	-4988.96	-207.85	4988.96	
0.00	-0.00	-4988.75	-209.84	4988.75	209.84	209.84	-4988.75	-209.84	4988.75	
0.00	-0.00	-4988.53	-211.84	4988.53	211.84	211.84	-4988.53	-211.84	4988.53	
0.00	-0.00	-4988.32	-213.83	4988.32	213.83	213.83	-4988.32	-213.83	4988.32	
0.00	-0.00	-4988.10	-215.83	4988.10	215.83	215.83	-4988.10	-215.83	4988.10	
0.00	-0.00	-4987.88	-217.82	4987.88	217.82	217.82	-4987.88	-217.82	4987.88	
0.00	-0.00	-4987.66	-219.82	4987.66	219.82	219.82	-4987.66	-219.82	4987.66	
0.00	-0.00	-4987.44	-221.81	4987.44	221.81	221.81	-4987.44	-221.81	4987.44	
0.00	-0.00	-4987.21	-223.81	4987.21	223.81	223.81	-4987.21	-223.81	4987.21	
0.00	-0.00	-4986.98	-225.80	4986.98	225.80	225.80	-4986.98	-225.80	4986.98	
0.00	-0.00	-4986.75	-227.80	4986.75	227.80	227.80	-4986.75	-227.80	4986.75	
0.00	-0.00	-4986.52	-229.79	4986.52	229.79	229.79	-4986.52	-229.79	4986.52	
0.00	-0.00	-4986.29	-231.79	4986.29	231.79	231.79	-4986.29	-231.79	4986.29	
0.00	-0.00	-4986.05	-233.78	4986.05	233.78	233.78	-4986.05	-233.78	4986.05	
0.00	-0.00	-4985.82	-235.78	4985.82	235.78	235.78	-4985.82	-235.78	4985.82	
0.00	-0.00	-4985.58	-237.77	4985.58	237.77	237.77	-4985.58	-237.77	4985.58	
0.00	-0.00	-4985.33	-239.77	4985.33	239.77	239.77	-4985.33	-239.77	4985.33	
0.00	-0.00	-4985.09	-241.76	4985.09	241.76	241.76	-4985.09	-241.76	4985.09	
0.00	-0.00	-4984.85	-243.75	4984.85	243.75	243.75	-4984.85	-243.75	4984.85	
0.00	-0.00	-4984.60	-245.75	4984.60	245.75	245.75	-4984.60	-245.75	4984.60	
0.00	-0.00	-4984.35	-247.74	4984.35	247.74	247.74	-4984.35	-247.74	4984.35	
0.00	-0.00	-4984.10	-249.74	4984.10	249.74	249.74	-4984.10	-249.74	4984.10	
0.00	-0.00	-4983.84	-251.73	4983.84	251.73	251.73	-4983.84	-251.73	4983.84	
0.00	-0.00	-4983.59	-253.72	4983.59	253.72	253.72	-4983.59	-253.72	4983.59	
0.00	-0.00	-4983.33	-255.72	4983.33	255.72	255.72	-4983.33	-255.72	4983.33	
0.00	-0.00	-4983.07	-257.71	4983.07	257.71	257.71	-4983.07	-257.71	4983.07	
0.00	-0.00	-4982.81	-259.70	4982.81	259.70	259.70	-4982.81	-259.70	4982.81	
0.00	-0.00	-4982.55	-261.70	4982.55	261.70	261.70	-4982.55	-261.70	4982.55	
0.00	-0.00	-4982.28	-263.69	4982.28	263.69	263.69	-4982.28	-263.69	4982.28	
0.00	-0.00	-4982.01	-265.68	4982.01	265.68	265.68	-4982.01	-265.68	4982.01	
0.00	-0.00	-4981.74	-267.67	4981.74	267.67	267.67	-4981.74	-267.67	4981.74	
0.00	-0.00	-4981.47	-269.67	4981.47	269.67	269.67	-4981.47	-269.67	4981.47	
0.00	-0.00	-4981.20	-271.66	4981.20	271.66	271.66	-4981.20	-271.66	4981.20	
0.00	-0.00	-4980.92	-273.65	4980.92	273.65	273.65	-4980.92	-273.65	4980.92	
0.00	-0.00	-4980.64	-275.64	4980.64	275.64	275.64	-4980.64	-275.64	4980.64	
